Time [s],fan_n,fan_p,PTA6,PTA7
0.021440866,1,0,1,1
0.021440868,1,1,1,1
0.021440870,0,1,1,1
0.021440882,1,1,1,1
0.021440912,0,0,1,1
0.021440916,0,1,1,1
0.021440920,1,1,1,1
0.021440934,0,1,1,1
0.021440948,1,1,1,1
0.021440978,0,1,1,1
0.021440984,1,1,1,1
0.021441000,0,1,1,1
0.021441008,1,1,1,1
0.021441026,0,1,1,1
0.021441030,1,1,1,1
0.021441096,0,1,1,1
0.021441108,1,1,1,1
0.021456726,0,1,1,1
0.021465088,0,0,1,1
0.021465676,0,1,1,1
0.021468856,0,0,1,1
0.021468862,0,1,1,1
0.021468864,0,0,1,1
0.021468884,0,1,1,1
0.021468890,1,0,1,1
0.021468892,0,0,1,1
0.021468908,0,1,1,1
0.021468918,1,0,1,1
0.021468922,0,0,1,1
0.021468926,0,1,1,1
0.021468928,0,0,1,1
0.021468934,0,1,1,1
0.021468944,0,0,1,1
0.021468952,0,1,1,1
0.021468954,0,0,1,1
0.021468958,0,1,1,1
0.021468968,0,0,1,1
0.021468978,0,1,1,1
0.021468990,0,0,1,1
0.021469000,0,1,1,1
0.021469014,0,0,1,1
0.021469022,0,1,1,1
0.021469036,0,0,1,1
0.021469042,0,1,1,1
0.021469058,0,0,1,1
0.021469064,0,1,1,1
0.021469156,0,0,1,1
0.021469180,1,0,1,1
0.021469976,1,1,1,1
0.021482750,0,1,1,1
0.021494986,0,1,1,0
0.021494988,0,1,0,0
0.021495148,0,0,0,0
0.021495152,0,1,0,0
0.021495166,1,1,0,0
0.021495172,0,1,0,0
0.021495194,1,1,0,0
0.021495200,0,1,0,0
0.021495216,1,1,0,0
0.021495218,0,1,0,0
0.021495230,1,1,0,0
0.021495242,0,1,0,0
0.021495248,1,1,0,0
0.021553128,1,1,1,1
0.021557906,0,1,1,1
0.021611138,0,1,1,0
0.021611140,0,1,0,0
0.021611342,1,1,0,0
0.021611348,0,1,0,0
0.021611364,1,1,0,0
0.021669190,1,1,1,1
0.021678174,0,1,1,1
0.021727144,0,1,1,0
0.021727146,0,1,0,0
0.021727322,1,1,0,0
0.021727324,0,1,0,0
0.021727350,1,1,0,0
0.021727354,0,1,0,0
0.021727370,1,1,0,0
0.021785184,1,1,0,1
0.021785186,1,1,1,1
0.021794674,0,1,1,1
0.021843150,0,1,0,0
0.021843328,1,1,0,0
0.021843330,0,1,0,0
0.021843356,1,1,0,0
0.021843360,0,1,0,0
0.021843376,1,1,0,0
0.021901262,1,1,0,1
0.021901264,1,1,1,1
0.021904972,0,1,1,1
0.021904976,0,0,1,1
0.021904980,0,1,1,1
0.021904996,1,1,1,1
0.021905004,1,0,1,1
0.021905008,0,1,1,1
0.021905016,0,0,1,1
0.021905018,0,1,1,1
0.021905022,1,1,1,1
0.021905032,1,0,1,1
0.021905034,1,1,1,1
0.021905036,0,1,1,1
0.021905048,1,1,1,1
0.021905078,0,0,1,1
0.021905082,0,1,1,1
0.021905086,1,1,1,1
0.021905100,0,1,1,1
0.021905114,1,1,1,1
0.021905144,0,1,1,1
0.021905148,1,1,1,1
0.021905166,0,1,1,1
0.021905174,1,1,1,1
0.021905262,0,1,1,1
0.021905274,1,1,1,1
0.021920872,0,1,1,1
0.021928766,0,0,1,1
0.021928810,0,1,1,1
0.021928824,0,0,1,1
0.021928828,0,1,1,1
0.021928834,0,0,1,1
0.021928840,0,1,1,1
0.021928852,0,0,1,1
0.021928928,0,1,1,1
0.021928942,0,0,1,1
0.021928956,0,1,1,1
0.021928972,0,0,1,1
0.021929842,0,1,1,1
0.021933014,1,1,1,1
0.021933016,0,1,1,1
0.021933020,0,0,1,1
0.021933048,0,1,1,1
0.021933054,1,0,1,1
0.021933056,0,0,1,1
0.021933072,0,1,1,1
0.021933082,1,1,1,1
0.021933084,1,0,1,1
0.021933086,0,0,1,1
