Time [s],Channel 0
2020-12-22T23:00:46.255028000+00:00,0
2020-12-22T23:00:46.255036960+00:00,1
2020-12-22T23:00:46.255082400+00:00,0
2020-12-22T23:00:46.255091360+00:00,1
2020-12-22T23:00:46.255100480+00:00,0
2020-12-22T23:00:46.255118560+00:00,1
2020-12-22T23:00:46.255127680+00:00,0
2020-12-22T23:00:46.255172960+00:00,1
2020-12-22T23:00:46.255191040+00:00,0
2020-12-22T23:00:46.255200160+00:00,1
2020-12-22T23:00:46.255209120+00:00,0
2020-12-22T23:00:46.255218240+00:00,1
2020-12-22T23:00:46.255263520+00:00,0
2020-12-22T23:00:46.255272640+00:00,1
2020-12-22T23:00:46.255281600+00:00,0
2020-12-22T23:00:46.255290720+00:00,1
2020-12-22T23:00:46.255308800+00:00,0
2020-12-22T23:00:46.255354240+00:00,1
2020-12-22T23:00:46.255372320+00:00,0
2020-12-22T23:00:46.255381440+00:00,1
2020-12-22T23:00:46.255390400+00:00,0
2020-12-22T23:00:46.255444800+00:00,1
2020-12-22T23:00:46.255462880+00:00,0
2020-12-22T23:00:46.255490080+00:00,1
2020-12-22T23:00:46.255535520+00:00,0
2020-12-22T23:00:46.255544640+00:00,1
2020-12-22T23:00:46.255553600+00:00,0
2020-12-22T23:00:46.255562720+00:00,1
2020-12-22T23:00:46.255571840+00:00,0
2020-12-22T23:00:46.255626240+00:00,1
2020-12-22T23:00:46.255644320+00:00,0
2020-12-22T23:00:46.255653440+00:00,1
2020-12-22T23:00:46.255716800+00:00,0
2020-12-22T23:00:46.255725920+00:00,1
2020-12-22T23:00:46.255735040+00:00,0
2020-12-22T23:00:46.255753120+00:00,1
2020-12-22T23:00:46.255771200+00:00,0
2020-12-22T23:00:46.255807520+00:00,1
2020-12-22T23:00:46.255825600+00:00,0
2020-12-22T23:00:46.255843840+00:00,1
2020-12-22T23:00:46.255861920+00:00,0
2020-12-22T23:00:46.255898240+00:00,1
2020-12-22T23:00:46.255916320+00:00,0
2020-12-22T23:00:46.255934560+00:00,1
2020-12-22T23:00:46.255943520+00:00,0
2020-12-22T23:00:46.255988960+00:00,1
2020-12-22T23:00:46.256007040+00:00,0
2020-12-22T23:00:46.256016160+00:00,1
2020-12-22T23:00:46.256025120+00:00,0
2020-12-22T23:00:46.256034240+00:00,1
2020-12-22T23:00:46.256079520+00:00,0
2020-12-22T23:00:46.256088640+00:00,1
2020-12-22T23:00:46.256097760+00:00,0
2020-12-22T23:00:46.256115840+00:00,1
2020-12-22T23:00:46.256124960+00:00,0
2020-12-22T23:00:46.256170240+00:00,1
2020-12-22T23:00:46.256188320+00:00,0
2020-12-22T23:00:46.256197440+00:00,1
2020-12-22T23:00:46.256206560+00:00,0
2020-12-22T23:00:46.256215520+00:00,1
2020-12-22T23:00:46.256260960+00:00,0
2020-12-22T23:00:46.256269920+00:00,1
2020-12-22T23:00:46.256279040+00:00,0
2020-12-22T23:00:46.256297120+00:00,1
2020-12-22T23:00:46.256306240+00:00,0
2020-12-22T23:00:46.256351520+00:00,1
2020-12-22T23:00:46.256369600+00:00,0
2020-12-22T23:00:46.256378720+00:00,1
2020-12-22T23:00:46.256387840+00:00,0
2020-12-22T23:00:46.256396960+00:00,1
2020-12-22T23:00:46.256442240+00:00,0
2020-12-22T23:00:46.256451200+00:00,1
2020-12-22T23:00:46.256460320+00:00,0
2020-12-22T23:00:46.256469440+00:00,1
2020-12-22T23:00:46.256487520+00:00,0
2020-12-22T23:00:46.256532800+00:00,1
2020-12-22T23:00:46.256551040+00:00,0
2020-12-22T23:00:46.256560000+00:00,1
2020-12-22T23:00:46.256569120+00:00,0
2020-12-22T23:00:46.256623520+00:00,1
2020-12-22T23:00:46.256641600+00:00,0
2020-12-22T23:00:46.256668800+00:00,1
2020-12-22T23:00:46.256714080+00:00,0
2020-12-22T23:00:46.256723200+00:00,1
2020-12-22T23:00:46.256732320+00:00,0
2020-12-22T23:00:46.256741280+00:00,1
2020-12-22T23:00:46.256750400+00:00,0
2020-12-22T23:00:46.256804800+00:00,1
2020-12-22T23:00:46.256822880+00:00,0
2020-12-22T23:00:46.256832000+00:00,1
2020-12-22T23:00:46.256895360+00:00,0
2020-12-22T23:00:46.256904480+00:00,1
2020-12-22T23:00:46.256913600+00:00,0
2020-12-22T23:00:46.256931680+00:00,1
2020-12-22T23:00:46.256949760+00:00,0
2020-12-22T23:00:46.256986080+00:00,1
2020-12-22T23:00:46.257004160+00:00,0
2020-12-22T23:00:46.257022240+00:00,1
2020-12-22T23:00:46.257040480+00:00,0
2020-12-22T23:00:46.257076640+00:00,1
2020-12-22T23:00:46.257094720+00:00,0
2020-12-22T23:00:46.257112960+00:00,1
2020-12-22T23:00:46.257131040+00:00,0
2020-12-22T23:00:46.257167200+00:00,1
2020-12-22T23:00:46.257185440+00:00,0
2020-12-22T23:00:46.257203520+00:00,1
2020-12-22T23:00:46.257212640+00:00,0
2020-12-22T23:00:46.257257920+00:00,1
2020-12-22T23:00:46.257276000+00:00,0
2020-12-22T23:00:46.257285120+00:00,1
2020-12-22T23:00:46.257294240+00:00,0
2020-12-22T23:00:46.257303200+00:00,1
2020-12-22T23:00:46.257348640+00:00,0
2020-12-22T23:00:46.257357760+00:00,1
2020-12-22T23:00:46.257366880+00:00,0
2020-12-22T23:00:46.257384960+00:00,1
2020-12-22T23:00:46.257394080+00:00,0
2020-12-22T23:00:46.257439360+00:00,1
2020-12-22T23:00:46.257457440+00:00,0
2020-12-22T23:00:46.257466560+00:00,1
2020-12-22T23:00:46.257475680+00:00,0
2020-12-22T23:00:46.257484640+00:00,1
2020-12-22T23:00:46.257529920+00:00,0
2020-12-22T23:00:46.257539040+00:00,1
2020-12-22T23:00:46.257548160+00:00,0
2020-12-22T23:00:46.257557120+00:00,1
2020-12-22T23:00:46.257575360+00:00,0
2020-12-22T23:00:46.257620640+00:00,1
2020-12-22T23:00:46.257638720+00:00,0
2020-12-22T23:00:46.257647840+00:00,1
2020-12-22T23:00:46.257656960+00:00,0
2020-12-22T23:00:46.257711200+00:00,1
2020-12-22T23:00:46.257729440+00:00,0
2020-12-22T23:00:46.257756640+00:00,1
2020-12-22T23:00:46.257801920+00:00,0
2020-12-22T23:00:46.257811040+00:00,1
2020-12-22T23:00:46.257820000+00:00,0
2020-12-22T23:00:46.257829120+00:00,1
2020-12-22T23:00:46.257838240+00:00,0
2020-12-22T23:00:46.257892640+00:00,1
2020-12-22T23:00:46.257910720+00:00,0
2020-12-22T23:00:46.257919680+00:00,1
2020-12-22T23:00:46.257983200+00:00,0
2020-12-22T23:00:46.257992320+00:00,1
2020-12-22T23:00:46.258001280+00:00,0
2020-12-22T23:00:46.258019520+00:00,1
2020-12-22T23:00:46.258037600+00:00,0
2020-12-22T23:00:46.258073920+00:00,1
2020-12-22T23:00:46.258092000+00:00,0
2020-12-22T23:00:46.258110080+00:00,1
2020-12-22T23:00:46.258128320+00:00,0
2020-12-22T23:00:46.258164480+00:00,1
2020-12-22T23:00:46.258182720+00:00,0
2020-12-22T23:00:46.258200800+00:00,1
2020-12-22T23:00:46.258218880+00:00,0
2020-12-22T23:00:46.258255200+00:00,1
2020-12-22T23:00:46.258273280+00:00,0
2020-12-22T23:00:46.258291360+00:00,1
2020-12-22T23:00:46.258300480+00:00,0
2020-12-22T23:00:46.258345760+00:00,1
2020-12-22T23:00:46.258363840+00:00,0
2020-12-22T23:00:46.258372960+00:00,1
2020-12-22T23:00:46.258382080+00:00,0
2020-12-22T23:00:46.258391040+00:00,1
2020-12-22T23:00:46.258436480+00:00,0
2020-12-22T23:00:46.258445440+00:00,1
2020-12-22T23:00:46.258454560+00:00,0
2020-12-22T23:00:46.258472640+00:00,1
2020-12-22T23:00:46.258481760+00:00,0
2020-12-22T23:00:46.258527040+00:00,1
2020-12-22T23:00:46.258545280+00:00,0
2020-12-22T23:00:46.258554240+00:00,1
2020-12-22T23:00:46.258563360+00:00,0
2020-12-22T23:00:46.258572480+00:00,1
2020-12-22T23:00:46.258617760+00:00,0
2020-12-22T23:00:46.258626720+00:00,1
2020-12-22T23:00:46.258635840+00:00,0
2020-12-22T23:00:46.258644800+00:00,1
2020-12-22T23:00:46.258663040+00:00,0
2020-12-22T23:00:46.258708320+00:00,1
2020-12-22T23:00:46.258726560+00:00,0
2020-12-22T23:00:46.258735520+00:00,1
2020-12-22T23:00:46.258744640+00:00,0
2020-12-22T23:00:46.258798880+00:00,1
2020-12-22T23:00:46.258817120+00:00,0
2020-12-22T23:00:46.258844320+00:00,1
2020-12-22T23:00:46.258889600+00:00,0
2020-12-22T23:00:46.258898720+00:00,1
